p,d,q,RMSFE,MAPE,AIC,BIC
2,1,0,0.0943077601964971,13.304993303559085,-1244.481186068494,-1236.352595464557
3,0,0,0.10277279996537364,13.895974139125883,-1240.1879963914603,-1226.5955020349847
3,1,2,0.11358523289355106,16.08296537861071,-1313.9319552649008,-1297.6747740570268
1,0,3,0.14975392647785774,19.89357398692146,-1038.1367865535053,-1021.8257933257347
0,1,3,0.14976263312432372,19.90475714617482,-1038.4403715820931,-1027.6022507768437
0,1,2,0.16791113235218977,21.767159856009872,-914.0267352556466,-905.8981446517096
2,0,3,0.16825539391100092,21.796008703978938,-906.9381483729919,-887.9086562739262
1,0,2,0.16985265636116506,21.885363373603077,-912.0275230883951,-898.4350287319196
0,1,1,0.18696939129658038,23.95979998946989,-782.3277386354121,-776.9086782327873
1,0,1,0.18871696334806468,24.127423692838352,-780.3684245717532,-769.4944290865728
2,0,2,0.1956368999254071,24.86166815398401,-787.1276445816237,-770.8166513538531
0,1,0,0.20733955041889707,26.587038312493284,-643.0268119779834,-640.317281776671
1,0,0,0.2085922398380589,26.747542085014913,-641.1295026757621,-632.9740060618768
3,0,3,0.2244065857717154,32.461697083728716,-1097.1539092452645,-1075.4059182749038
3,0,2,0.2418486068603115,35.367767506075204,-1229.26169024869,-1210.2321981496243
1,1,3,0.24631689491482142,34.443207265293864,-1287.510751844421,-1273.9631008378594
3,0,1,0.318442689269542,46.48333369172747,-1065.607113450979,-1049.2961202232086
0,0,3,0.3362390792093001,46.94637508758445,-554.2455006107571,-540.6530062542815
0,0,2,0.33992721714840435,47.93571160049855,-415.61509085901923,-404.74109537383885
3,1,0,0.3422587687609876,50.31051945438063,-1111.8647881517693,-1101.0266673465198
0,0,1,0.34324445271615134,48.89314774677661,-273.2077860126558,-265.0522893987705
0,0,0,0.3462605446753321,49.78351051793562,-126.81149591871207,-121.37449817612188
1,1,2,0.38321446644076973,54.56805607202323,-1254.8039639235985,-1243.965843118349
1,1,0,0.4714211685652281,67.16675323395025,-1032.884295725913,-1027.4652353232884
3,1,1,0.5023502570032218,72.8440847766823,-1174.9720471259834,-1161.4243961194218
1,1,1,0.544493894535418,77.91721032475671,-1175.1053251363692,-1166.9767345324321
2,1,2,0.6771740226813227,98.80438447809297,-1357.627474908325,-1344.0798239017633
2,1,1,0.6915701440986102,100.3771198337466,-1327.8780919637861,-1317.0399711585367
3,1,3,0.7525596844063637,107.94312226811917,-1158.913579228251,-1139.9468678190647
2,1,3,0.8128844736107851,118.21464555367005,-1363.8141475794125,-1347.5569663715385
2,0,0,0.847816107355855,121.45068827681122,-1041.2225782152075,-1030.3485827300271
2,0,1,0.8621134625669541,123.6897622841515,-1180.5607487222633,-1166.9682543657877
