Alpha,Mean_RMSE,Std_RMSE,Rank
50.0,0.08989282857756412,0.04613570873842156,1
10.0,0.09135638971469696,0.03690554264768578,2
100.0,0.09419430261749202,0.05137347123046579,3
5.0,0.09902208846607348,0.04005862023783291,4
1.0,0.12484073849565609,0.0790191755227387,5
0.5,0.13420389151274734,0.09618518761640989,6
0.1,0.14552047363413803,0.11753993505319253,7
0.01,0.14884886468895883,0.12390114637556544,8
0.001,0.14920299428284886,0.12457962532880869,9
0.0001,0.14923863513718977,0.12464792662737455,10
